epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,27150.5,1.25923,0.92506,1.25549,0.72745,0.66057,0.747,0.43407,1.45695,1.15646,1.42922,0.0015842,0.0015842,0.0015842
107,27388.8,1.2737,0.95783,1.27364,0.69516,0.67055,0.72088,0.42602,1.47088,1.15008,1.41254,0.00158024,0.00158024,0.00158024
108,27623.1,1.31073,0.96502,1.27303,0.68742,0.64402,0.70504,0.4077,1.49381,1.27155,1.41841,0.00157628,0.00157628,0.00157628
109,27859.8,1.26093,0.96462,1.24293,0.72844,0.65557,0.73357,0.43796,1.47427,1.19721,1.4173,0.00157232,0.00157232,0.00157232
110,28091.4,1.26928,0.95261,1.25514,0.71835,0.64393,0.73069,0.43599,1.47168,1.20578,1.43319,0.00156836,0.00156836,0.00156836
111,28326.5,1.25455,0.9322,1.24484,0.73365,0.63394,0.73526,0.41953,1.50512,1.1592,1.44173,0.0015644,0.0015644,0.0015644
112,28560,1.27949,0.94282,1.25488,0.7389,0.64509,0.72764,0.42206,1.52959,1.21522,1.45895,0.00156044,0.00156044,0.00156044
113,28794.1,1.28243,0.92422,1.24195,0.73305,0.67055,0.76311,0.45069,1.46681,1.1477,1.39775,0.00155648,0.00155648,0.00155648
114,29020.1,1.26282,0.92995,1.24431,0.71152,0.66073,0.72527,0.43671,1.42454,1.16538,1.38363,0.00155252,0.00155252,0.00155252
115,29248.4,1.26677,0.91463,1.2534,0.72006,0.65054,0.74747,0.42811,1.49957,1.15341,1.43281,0.00154856,0.00154856,0.00154856
116,29480.4,1.25254,0.92437,1.24388,0.71636,0.68499,0.74582,0.44009,1.49035,1.15185,1.44678,0.0015446,0.0015446,0.0015446
117,29711.4,1.28314,0.93034,1.25384,0.74205,0.65225,0.73637,0.4481,1.43805,1.14948,1.40267,0.00154064,0.00154064,0.00154064
118,29945.4,1.26272,0.9188,1.25142,0.70215,0.66223,0.73313,0.42713,1.52506,1.1748,1.45687,0.00153668,0.00153668,0.00153668
119,30178.7,1.25348,0.92098,1.2472,0.70955,0.66889,0.72375,0.4265,1.48619,1.17984,1.42972,0.00153272,0.00153272,0.00153272
120,30409.7,1.25158,0.92551,1.23226,0.76679,0.62369,0.74504,0.4416,1.47581,1.17987,1.41719,0.00152876,0.00152876,0.00152876
121,30642.2,1.24561,0.89839,1.2348,0.67639,0.70383,0.73391,0.42094,1.5304,1.19853,1.45198,0.0015248,0.0015248,0.0015248
122,30870.9,1.26036,0.91362,1.25084,0.74124,0.66057,0.74971,0.4465,1.47379,1.17921,1.42521,0.00152084,0.00152084,0.00152084
123,31099.6,1.27173,0.9228,1.25841,0.71629,0.6589,0.71647,0.4138,1.50585,1.21909,1.45546,0.00151688,0.00151688,0.00151688
124,31328.1,1.24859,0.91167,1.24376,0.68472,0.66223,0.72447,0.41649,1.55191,1.20577,1.47763,0.00151292,0.00151292,0.00151292
125,31558.8,1.22575,0.90433,1.22777,0.74555,0.64352,0.74264,0.43312,1.50929,1.16356,1.45114,0.00150896,0.00150896,0.00150896
126,31790.6,1.24326,0.88798,1.2303,0.71827,0.67388,0.74286,0.43196,1.53762,1.15242,1.46482,0.001505,0.001505,0.001505
127,32024.1,1.24794,0.89834,1.23281,0.69545,0.69913,0.75185,0.44054,1.46717,1.115,1.42624,0.00150104,0.00150104,0.00150104
128,32256.8,1.24146,0.89217,1.22578,0.69504,0.66744,0.73381,0.4288,1.54632,1.15373,1.47162,0.00149708,0.00149708,0.00149708
129,32487.7,1.21777,0.87078,1.21278,0.75083,0.65724,0.7384,0.44234,1.51658,1.11491,1.45061,0.00149312,0.00149312,0.00149312
130,32722.2,1.22217,0.87801,1.23266,0.68151,0.67055,0.7212,0.42684,1.5118,1.15457,1.45787,0.00148916,0.00148916,0.00148916
131,32956.6,1.20373,0.84017,1.22238,0.71007,0.65724,0.70601,0.41423,1.56563,1.17651,1.49112,0.0014852,0.0014852,0.0014852
132,33191.7,1.22215,0.87141,1.22374,0.75711,0.61564,0.72703,0.43216,1.49663,1.12409,1.44252,0.00148124,0.00148124,0.00148124
133,33425.6,1.21585,0.86755,1.21323,0.70429,0.67369,0.72477,0.43257,1.50207,1.14929,1.4367,0.00147728,0.00147728,0.00147728
134,33659.9,1.2177,0.86199,1.2141,0.70294,0.69296,0.739,0.43331,1.51015,1.10008,1.45416,0.00147332,0.00147332,0.00147332
135,33896.5,1.21658,0.86569,1.21308,0.69976,0.6772,0.73444,0.43406,1.47424,1.10221,1.4361,0.00146936,0.00146936,0.00146936
136,34131.1,1.22002,0.87168,1.22036,0.68626,0.67221,0.73411,0.43796,1.47272,1.15064,1.423,0.0014654,0.0014654,0.0014654
137,34363.3,1.19267,0.83983,1.19921,0.76003,0.62729,0.70206,0.39864,1.61133,1.21233,1.51184,0.00146144,0.00146144,0.00146144
138,34598.2,1.19701,0.86043,1.21669,0.71389,0.68386,0.73285,0.43903,1.48438,1.13354,1.43443,0.00145748,0.00145748,0.00145748
139,34834.7,1.20248,0.85312,1.21186,0.73351,0.63894,0.73947,0.43754,1.48159,1.14494,1.42606,0.00145352,0.00145352,0.00145352
140,35070.1,1.2074,0.84384,1.21168,0.73084,0.61398,0.71859,0.41753,1.54968,1.21025,1.49676,0.00144956,0.00144956,0.00144956
141,35304.8,1.19612,0.84085,1.20091,0.75118,0.60732,0.71021,0.42009,1.51194,1.1888,1.46502,0.0014456,0.0014456,0.0014456
142,35536.7,1.19983,0.86274,1.20699,0.6824,0.67221,0.73021,0.43371,1.52695,1.12544,1.43712,0.00144164,0.00144164,0.00144164
143,35774.9,1.1757,0.82545,1.18576,0.73488,0.63647,0.72383,0.42342,1.56739,1.15427,1.46919,0.00143768,0.00143768,0.00143768
144,36012.6,1.17415,0.82765,1.19715,0.73383,0.66389,0.74955,0.44291,1.50421,1.14075,1.46059,0.00143372,0.00143372,0.00143372
145,36248.4,1.20711,0.83253,1.21231,0.76307,0.65377,0.75919,0.44529,1.48935,1.09125,1.4422,0.00142976,0.00142976,0.00142976
146,36486,1.21254,0.85242,1.21004,0.65748,0.71226,0.72343,0.42359,1.50592,1.14234,1.4401,0.0014258,0.0014258,0.0014258
147,36719.3,1.19199,0.83272,1.19136,0.75794,0.64084,0.72376,0.42393,1.55901,1.1456,1.49906,0.00142184,0.00142184,0.00142184
148,36953.6,1.18279,0.84376,1.20244,0.68659,0.71048,0.74111,0.43336,1.53541,1.14764,1.46504,0.00141788,0.00141788,0.00141788
149,37189.8,1.1758,0.84054,1.19589,0.73821,0.66624,0.74335,0.43389,1.52378,1.09664,1.44978,0.00141392,0.00141392,0.00141392
150,37425.1,1.19684,0.85123,1.20581,0.68645,0.68885,0.72197,0.42335,1.52647,1.14738,1.4583,0.00140996,0.00140996,0.00140996
151,37659.4,1.17575,0.81435,1.17611,0.70194,0.69218,0.73596,0.43839,1.52359,1.13001,1.44683,0.001406,0.001406,0.001406
152,37894,1.19163,0.82831,1.19817,0.72082,0.66889,0.73245,0.42828,1.52547,1.18294,1.46512,0.00140204,0.00140204,0.00140204
